polygon_id,coordinates,color_r,color_g,color_b,color_a
0,"[[1.5023294815280233, 2.483257995539505], [1.730473426810844, 16.62165745851378], [9.778052234783551, 8.452145638299061], [17.459832006030226, 1.5019639405044498], [2.3146120852947094, 1.6675378264621314], [1.5023294815280233, 2.483257995539505]]",0.2784313725490196,0.5450980392156862,0.38823529411764707,1.0
1,"[[10.238355595085288, 11.153238197118464], [19.113394082941788, 20.258900237452725], [36.60331492802591, 1.6238969527464606], [29.81121112451055, 1.4876577308516326], [21.24510211852785, 1.4876577308516326], [10.238355595085288, 11.153238197118464]]",0.2901960784313726,0.5568627450980392,0.4,1.0
2,"[[6.358299392546112, 33.106043544065344], [18.305224522262385, 21.091663845330576], [9.01446962218502, 12.747910067695763], [1.6452813647670304, 20.15778887579813], [1.6452813647670304, 29.115252466859786], [6.358299392546112, 33.106043544065344]]",0.29411764705882354,0.5725490196078431,0.40784313725490196,1.0
3,"[[36.99712254198993, 5.910505078329182], [44.52644841970652, 15.511328848220202], [57.575793033651756, 2.721294062924557], [50.38174531137312, 2.233562013956514], [42.33617752419844, 1.6611453595540944], [36.99712254198993, 5.910505078329182]]",0.3137254901960784,0.5882352941176471,0.4196078431372549,1.0
4,"[[30.248554492012936, 29.37754422514547], [43.059005344722245, 16.307502371605395], [35.09127901142099, 6.219383598070696], [21.509966974777324, 20.08397543645766], [30.248554492012936, 29.37754422514547]]",0.3058823529411765,0.5803921568627451,0.4117647058823529,1.0
5,"[[16.399366493599977, 42.60787074910502], [28.3596883954511, 30.020004774558913], [19.77020203758614, 21.220697302452198], [7.878636429912478, 34.46521871344064], [16.399366493599977, 42.60787074910502]]",0.28627450980392155,0.5333333333333333,0.39215686274509803,1.0
6,"[[2.3846829059890036, 32.690146638224114], [2.1234131353600745, 44.04508753793059], [2.1234131353600745, 58.3741036096831], [14.984849181260758, 43.72580359374763], [2.3846829059890036, 32.690146638224114]]",0.2784313725490196,0.47843137254901963,0.3764705882352941,1.0
7,"[[52.53764130713568, 10.554262981811345], [60.43975779716154, 20.793347584191995], [72.45162052717706, 8.208279613815039], [78.91407017600363, 2.233562013956514], [63.27656933622861, 1.589736514498177], [52.53764130713568, 10.554262981811345]]",0.29411764705882354,0.5450980392156862,0.403921568627451,1.0
8,"[[47.84096924029688, 30.93050695357868], [59.84323569095556, 21.457653109367776], [51.60916426249225, 11.670260976301753], [38.85937162457794, 22.03152746324945], [47.84096924029688, 30.93050695357868]]",0.3176470588235294,0.5725490196078431,0.4196078431372549,1.0
9,"[[34.05183344010291, 44.70424037854677], [46.69890038328976, 32.25111376044334], [38.196775189281645, 23.36681871055358], [25.19166603670669, 35.85138176467154], [34.05183344010291, 44.70424037854677]]",0.3058823529411765,0.5529411764705883,0.403921568627451,1.0
10,"[[22.362574348255833, 57.10071322426957], [32.979702556618705, 46.11846237265371], [24.017358631079276, 37.432836118282836], [12.590902263598501, 49.25094212224954], [22.362574348255833, 57.10071322426957]]",0.27058823529411763,0.41568627450980394,0.35294117647058826,1.0
11,"[[10.767556873412492, 71.55145241963879], [21.768233780063547, 58.79450388946744], [11.673231410677241, 50.89868473275486], [1.495164889422437, 62.74805998658386], [1.495164889422437, 65.67691490169729], [10.767556873412492, 71.55145241963879]]",0.33725490196078434,0.5647058823529412,0.41568627450980394,1.0
12,"[[10.27661527275673, 73.29772900795001], [1.3777656649922372, 67.94386851594906], [1.3777656649922372, 82.08103446293133], [10.27661527275673, 73.29772900795001]]",0.403921568627451,0.6705882352941176,0.4823529411764706,1.0
13,"[[78.32207438759643, 6.125966230723288], [86.66132432366518, 15.192592786523367], [94.03376369401296, 7.476681540362976], [98.54528514696736, 2.5993610506825466], [83.84910351032768, 1.7992835026199754], [78.32207438759643, 6.125966230723288]]",0.3215686274509804,0.596078431372549,0.4235294117647059,1.0
14,"[[73.21899252502959, 28.82365037961776], [86.3279263418958, 16.170383127373825], [77.18751543895475, 6.685859824380934], [65.28676455971907, 18.361916721740887], [73.21899252502959, 28.82365037961776]]",0.30980392156862746,0.5764705882352941,0.4196078431372549,1.0
15,"[[53.33304434045144, 28.05619914602081], [61.70082169828641, 37.433628017207724], [72.45016870675816, 29.517829411499196], [64.72390759125993, 19.201764636410388], [53.33304434045144, 28.05619914602081]]",0.3058823529411765,0.5372549019607843,0.403921568627451,1.0
16,"[[44.923779538828946, 54.176223761702964], [61.13225188216769, 38.38357045849524], [52.53708919036003, 28.864706065072557], [35.626616864334224, 44.83130425644009], [44.923779538828946, 54.176223761702964]]",0.3137254901960784,0.5411764705882353,0.40784313725490196,1.0
17,"[[24.89609142170074, 56.665034332269734], [34.29303475382672, 65.16351939811709], [44.00468868523495, 55.02935698946992], [35.090637851421526, 45.40003362475942], [24.89609142170074, 56.665034332269734]]",0.3058823529411765,0.5372549019607843,0.403921568627451,1.0
18,"[[24.013989802051587, 58.695756888988015], [12.956822707953878, 71.41396626223315], [23.687220575234758, 77.99723025722172], [33.604160735257736, 66.02167295713916], [24.013989802051587, 58.695756888988015]]",0.3803921568627451,0.6274509803921569,0.4588235294117647,1.0
19,"[[11.847801184478072, 95.0003964540088], [21.70951856623083, 78.81717312591633], [12.301542645980904, 73.79324145673938], [1.434164242102269, 87.59492219101273], [1.434164242102269, 89.0119627261624], [11.847801184478072, 95.0003964540088]]",0.45098039215686275,0.7098039215686275,0.5098039215686274,1.0
20,"[[11.353869431340168, 97.0505297416953], [1.4155305972473138, 91.00435981209958], [2.2378164242812235, 111.27001002916566], [11.353869431340168, 97.0505297416953]]",0.4392156862745098,0.7019607843137254,0.5019607843137255,1.0
21,"[[97.53864626595609, 8.092735361323086], [105.81809492916803, 16.776050006390747], [120.85902638725533, 3.574825148618632], [115.84527253647674, 2.2991092597387577], [105.96361538527465, 2.2991092597387577], [97.53864626595609, 8.092735361323086]]",0.30980392156862746,0.5843137254901961,0.41568627450980394,1.0
22,"[[89.32401421341196, 32.58460920157408], [104.31177572067195, 18.146730624273548], [95.93625955945245, 8.146874778073238], [80.77465089804043, 23.47677794575267], [89.32401421341196, 32.58460920157408]]",0.3137254901960784,0.5843137254901961,0.4196078431372549,1.0
23,"[[79.46224112327178, 24.340528339679288], [67.42010465880205, 36.122555055957264], [74.56713099114957, 44.67522104718958], [88.41374216577476, 32.938932652493214], [79.46224112327178, 24.340528339679288]]",0.3254901960784314,0.5764705882352941,0.4235294117647059,1.0
24,"[[73.59013071619998, 45.39260622330653], [65.77849720141283, 36.55589657303152], [61.87777555627824, 39.274683365188714], [54.31463786708729, 46.33257824717602], [63.00925721834529, 54.43705401367975], [73.59013071619998, 45.39260622330653]]",0.30980392156862746,0.5529411764705883,0.40784313725490196,1.0
25,"[[61.156470424056245, 55.96199999726885], [53.2648707238439, 46.872781456312985], [43.18035795841583, 58.48952708095977], [51.17418255521437, 67.4583685998497], [61.156470424056245, 55.96199999726885]]",0.3333333333333333,0.5568627450980392,0.4196078431372549,1.0
26,"[[42.38024253486653, 76.6585038054356], [50.5752477550014, 67.98897110282837], [41.38575168718714, 60.27106039742306], [32.029899623916705, 69.37683302390585], [42.38024253486653, 76.6585038054356]]",0.36470588235294116,0.611764705882353,0.45098039215686275,1.0
27,"[[19.77832753413681, 86.03029792004585], [30.7959242022206, 93.11456044367868], [41.97704007886257, 78.58508593991903], [31.60348670462902, 70.32906391317296], [19.77832753413681, 86.03029792004585]]",0.38823529411764707,0.6509803921568628,0.4666666666666667,1.0
28,"[[29.290620076799602, 94.1250668032359], [19.669085103812385, 87.72099323057975], [13.658489814067803, 96.94686398165926], [23.50470438766224, 103.3061027606625], [29.290620076799602, 94.1250668032359]]",0.4588235294117647,0.7137254901960784,0.5137254901960784,1.0
29,"[[14.004141506730507, 119.51292469547653], [22.245660038028507, 105.33045774152451], [12.26230467632955, 98.85639844179495], [3.396909839217649, 114.15502793944354], [14.004141506730507, 119.51292469547653]]",0.403921568627451,0.6705882352941176,0.47843137254901963,1.0
30,"[[13.834754756467854, 121.69001983175936], [1.9821366181512718, 116.21714772648045], [1.3066803819260877, 120.23028151377169], [1.3066803819260877, 137.0536811994728], [13.834754756467854, 121.69001983175936]]",0.43529411764705883,0.6980392156862745,0.4980392156862745,1.0
31,"[[126.06930186202074, 3.6378629171194556], [132.98510568913002, 13.946569720662406], [148.15970491021767, 2.3886015538847083], [142.17213946659385, 1.8077995822644988], [129.3467556708542, 1.8077995822644988], [126.06930186202074, 3.6378629171194556]]",0.3843137254901961,0.6392156862745098,0.4666666666666667,1.0
32,"[[118.7961010588978, 23.789629758357734], [131.619305100791, 14.725184351775782], [124.7753238310886, 4.693945560827148], [110.69785353242845, 14.670338805891044], [118.7961010588978, 23.789629758357734]]",0.3686274509803922,0.6352941176470588,0.4549019607843137,1.0
33,"[[107.80520240643155, 32.820862476004024], [117.23806062773473, 25.190499305216772], [109.33825176684627, 16.070584804430556], [100.08168283554922, 24.329064564997566], [107.80520240643155, 32.820862476004024]]",0.34901960784313724,0.6078431372549019,0.43529411764705883,1.0
34,"[[95.10163410165735, 45.97832524877352], [106.18654583510065, 34.27921686689376], [98.49060148014124, 25.264034530599744], [86.5536061478697, 36.96634983033354], [95.10163410165735, 45.97832524877352]]",0.34509803921568627,0.6,0.43137254901960786,1.0
35,"[[73.39728177998185, 48.74368168925726], [81.00465263739827, 58.84738131093258], [92.93769440257294, 46.95028486983985], [84.76305115715549, 37.462560429165514], [73.39728177998185, 48.74368168925726]]",0.3411764705882353,0.596078431372549,0.43529411764705883,1.0
36,"[[59.02456345897476, 61.110282887129976], [68.19645115796162, 69.67155957001846], [79.48462051693501, 59.29128322003847], [71.22124270561223, 49.85299916600123], [59.02456345897476, 61.110282887129976]]",0.41568627450980394,0.6784313725490196,0.48627450980392156,1.0
37,"[[45.19091184021394, 76.51178641654683], [54.48108849797113, 84.7186259399237], [66.77107984147872, 70.89516240118374], [57.73256027170692, 62.01332588250935], [45.19091184021394, 76.51178641654683]]",0.37254901960784315,0.6274509803921569,0.45098039215686275,1.0
38,"[[53.65770338702076, 85.67387941936518], [43.84409987489497, 77.47351036477049], [32.03739419450342, 92.97876481175852], [42.77628559091936, 100.09459883723979], [53.65770338702076, 85.67387941936518]]",0.4,0.6666666666666666,0.4745098039215686,1.0
39,"[[31.378890022241023, 94.3472389682242], [23.81205986546096, 105.20949458888288], [34.84962448667797, 111.60572507913622], [42.47046067581576, 101.1273373987733], [31.378890022241023, 94.3472389682242]]",0.4627450980392157,0.7215686274509804,0.5176470588235295,1.0
40,"[[33.268421210653514, 112.91716892751259], [23.727478685825044, 106.14027760022532], [16.3966602093617, 120.64484721072084], [26.833881532241442, 126.5099461221023], [33.268421210653514, 112.91716892751259]]",0.38823529411764707,0.6509803921568628,0.4666666666666667,1.0
41,"[[20.052432785601294, 139.3796853469906], [26.544363500535788, 127.79416385106636], [14.947567214398688, 122.62031465300936], [8.455636499464195, 134.20583614893366], [20.052432785601294, 139.3796853469906]]",0.38823529411764707,0.6352941176470588,0.4666666666666667,1.0
42,"[[2.0140181746750776, 155.75978233964847], [19.179174732650413, 141.28682722049962], [7.990898644807668, 135.40490787695072], [1.9426594499001815, 140.86210102554716], [1.9426594499001815, 147.52258473830113], [2.0140181746750776, 155.75978233964847]]",0.41568627450980394,0.6705882352941176,0.4823529411764706,1.0
43,"[[155.11416327551302, 2.4666636973007097], [161.3545522244796, 13.26896210628413], [180.26816918403966, 1.7377543050910196], [172.71917101713382, 1.853656301196662], [156.51187109016934, 1.853656301196662], [155.11416327551302, 2.4666636973007097]]",0.4745098039215686,0.7254901960784313,0.5215686274509804,1.0
44,"[[148.72221989895348, 20.032318248925108], [160.19403587977126, 13.88244688540918], [154.3943282493758, 2.892391883256962], [142.66670233736076, 9.17989580170124], [148.72221989895348, 20.032318248925108]]",0.4823529411764706,0.6784313725490196,0.5098039215686274,1.0
45,"[[138.08981622991874, 27.05423797730872], [147.7723596342955, 20.923549048090994], [141.43956405572735, 9.59660649018892], [130.96817134767463, 16.811831100121545], [138.08981622991874, 27.05423797730872]]",0.4235294117647059,0.6823529411764706,0.48627450980392156,1.0
46,"[[121.78285792611132, 39.59982291731699], [136.6887689952193, 27.87607789611264], [129.88336864347957, 18.490983134754362], [113.84943138822625, 30.440085864319702], [121.78285792611132, 39.59982291731699]]",0.43137254901960786,0.6862745098039216,0.49411764705882355,1.0
47,"[[97.95651570812073, 44.86276346954533], [107.25517102007765, 52.72106601004803], [120.39287893295696, 41.56697228264856], [112.31616481715263, 32.659602190205], [97.95651570812073, 44.86276346954533]]",0.41568627450980394,0.6666666666666666,0.47843137254901963,1.0
48,"[[87.96560662143241, 54.60030385902788], [95.48935502127398, 64.15783529330274], [105.83033695086424, 54.825282059189675], [96.87276058598904, 46.57368528049947], [87.96560662143241, 54.60030385902788]]",0.4117647058823529,0.6392156862745098,0.4588235294117647,1.0
49,"[[77.00572799444795, 64.17649532284997], [84.94842538374091, 72.41933055209476], [93.61697275809078, 65.31344387334408], [86.46454491880787, 56.105729731771355], [77.00572799444795, 64.17649532284997]]",0.4117647058823529,0.6588235294117647,0.47843137254901963,1.0
50,"[[84.15853346277913, 74.26567903739681], [75.19202240460949, 65.49050116318782], [59.80413608434613, 80.1436979839211], [69.21484459358781, 88.42846901016755], [84.15853346277913, 74.26567903739681]]",0.42745098039215684,0.6745098039215687,0.49019607843137253,1.0
51,"[[56.81684642897056, 105.45495278638916], [67.29643407485511, 89.81920883387606], [58.84739999215375, 80.88354966329022], [47.025837739563464, 98.02071241569132], [56.81684642897056, 105.45495278638916]]",0.43529411764705883,0.6862745098039216,0.49411764705882355,1.0
52,"[[36.60582893974105, 111.96369794014662], [46.756659707453856, 118.56609551676486], [55.42064892505083, 106.19338222607647], [45.31505773673736, 99.31609890866875], [36.60582893974105, 111.96369794014662]]",0.4980392156862745,0.7411764705882353,0.5372549019607843,1.0
53,"[[46.16026170204988, 120.3428361443211], [35.33743812803558, 114.03262871175366], [27.498350667553183, 128.11119071165416], [39.053646824531, 133.42034034410955], [46.16026170204988, 120.3428361443211]]",0.4588235294117647,0.7058823529411765,0.5098039215686274,1.0
54,"[[26.89015434737725, 129.4082667598149], [18.30690909269157, 145.79122282656706], [30.179384095474568, 151.43842194527048], [38.61866220843917, 135.35450923780303], [26.89015434737725, 129.4082667598149]]",0.4470588235294118,0.6666666666666666,0.4823529411764706,1.0
55,"[[12.725443457667899, 166.71591077513386], [28.94160575665014, 152.2426065514206], [17.641593000267616, 146.73093387544557], [4.970256575932247, 156.5574244357162], [12.725443457667899, 166.71591077513386]]",0.403921568627451,0.6549019607843137,0.47058823529411764,1.0
56,"[[11.80803024990314, 167.4447897540007], [3.7987571052735314, 156.88678391813565], [1.4452844133334253, 160.56722473143714], [1.4452844133334253, 174.88963456545952], [11.80803024990314, 167.4447897540007]]",0.41568627450980394,0.6705882352941176,0.48627450980392156,1.0
57,"[[197.12446772205712, 12.68203045698752], [211.21855931662142, 2.413945932126885], [205.23485795047657, 1.8148876741391908], [193.116060212427, 1.8148876741391908], [197.12446772205712, 12.68203045698752]]",0.4196078431372549,0.6823529411764706,0.49019607843137253,1.0
58,"[[182.1934806763816, 18.329370824486087], [195.28315620090177, 13.186616792958972], [191.36490691006455, 2.0481870094260004], [183.7242956886143, 2.3030819658849206], [177.26445197799413, 7.011290432125474], [182.1934806763816, 18.329370824486087]]",0.42745098039215684,0.6941176470588235,0.4980392156862745,1.0
59,"[[168.5650796261775, 25.77274876157512], [180.78953154336077, 19.29250358258704], [175.8304495247822, 7.010884985842726], [162.77784505106584, 13.97030263309515], [168.5650796261775, 25.77274876157512]]",0.4392156862745098,0.6823529411764706,0.4980392156862745,1.0
60,"[[160.97742545253573, 14.34786889267625], [146.2562769748536, 24.101429081958027], [152.34327546084532, 35.502419435483795], [166.34150925711674, 26.11773120268654], [160.97742545253573, 14.34786889267625]]",0.4392156862745098,0.596078431372549,0.4627450980392157,1.0
